#Organism/Name	taxid	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Mrakia blollopis	696254	PRJDB3253	270040	Fungi	Basidiomycetes	30.4798	53.7	GCA_000950635.1	-	BBPU01	167	-	-	2014/12/09	2015/03/13	Contig	National Institute of Advanced Industrial Science and Technology (AIST)	SAMD00023315
Colletotrichum acutatum	27357	PRJNA657976	657976	Fungi	Ascomycetes	49.4223	52.3	GCA_020465715.1	-	JACXVX01	2109	-	-	2021/10/13	2021/10/13	Contig	AgriBio	SAMN16093709
Junonia stemosa	2691984	PRJNA606954	606954	Animals	Insects	38.5488	33.4	GCA_018233005.1	-	DVSO01	123346	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN13641010
Eupsittula pertinax	492513	PRJNA596746	596746	Animals	Birds	1118.85	40.6	GCA_011317185.2	-	WUQE02	98629	-	-	2020/03/16	2022/11/14	Scaffold	IRIDIAN GENOMES	SAMN13635021
Lagorchestes hirsutus	65632	PRJEB39788	690434	Animals	Mammals	2.00264	44.8	GCA_904811775.1	-	CAJGMJ01	1972	-	-	2021/01/25	2021/02/21	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321119
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.3951	38.3148	GCA_001737885.1	chromosome I:CM005103.1; chromosome II:CM005104.1; chromosome III:CM005105.1; chromosome IV:CM005106.1; chromosome V:CM005107.1; chromosome VI:CM005108.1; chromosome VII:CM005109.1; chromosome VIII:CM005110.1; chromosome IX:CM005111.1; chromosome X:CM005112.1; chromosome XI:CM005113.1; chromosome XII:CM005114.1; chromosome XIII:CM005115.1; chromosome XIV:CM005116.1; chromosome XV:CM005117.1; chromosome XVI:CM005118.1	MBVC01	500	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190491
Xylonomycetes sp. FKI-L1-BK-DR1	2778100	PRJNA644637	644637	Fungi	Ascomycetes	24.8333	52.2	GCA_020087015.1	-	JADCQY01	123	-	-	2021/09/21	2021/09/21	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	SAMN15543698
Neolamprologus sp. 'cygnus' AB-2019	2591282	PRJNA550295	550295	Animals	Other Animals	694.956	40.4	GCA_015110875.1	-	VUWX01	70074	-	-	2020/10/29	2020/10/29	Scaffold	"CICHLID~X"	SAMN12124075
Sylvicapra grimmia	119562	PRJNA438286	438286	Animals	Mammals	3145.09	34.8	GCA_006408735.1	-	SJYH01	22324	-	-	2019/06/24	2019/06/24	Scaffold	Northwestern Polytechnical University	SAMN08714508
Monosporascus sp. MC13-8B	2211646	PRJNA471727	471727	Fungi	Ascomycetes	89.2946	36.6	GCA_004154975.1	-	QJNW01	1441	10638	10638	2019/02/11	2019/02/11	Scaffold	University of New Mexico	SAMN09215316
Giardia intestinalis ATCC 50581	598745	PRJNA33815	33815	Protists	Other Protists	11.0015	47.3	GCA_000182405.1	-	ACGJ01	2931	4562	4470	2009/07/13	2022/05/27	Contig	Karolinska Institutet	SAMN02953749
Aspergillus sp. 'subgen. Cremei'	2894562	PRJNA698796	698796	Fungi	Ascomycetes	32.1567	47.6	GCA_019976455.1	-	JAFBMR01	9	-	-	2021/09/14	2021/11/16	Contig	Aalborg university	SAMN17736651
Myxobolus honghuensis	1085956	PRJNA778632	778632	Animals	Other Animals	254.311	27.6	GCA_022478855.1	-	JAJJPF01	169493	-	-	2022/03/01	2022/03/07	Scaffold	Huazhong Agricultural Univeristy	SAMN23005369
Odobenus rosmarus divergens	9708	PRJNA167474	167474	Animals	Mammals	2400.15	41.7	GCA_000321225.1	mitochondrion MT:NC_004029.2/	ANOP01	3893	25583	31370	2012/12/17	2015/04/20	Scaffold	Marine mammals	SAMN01180787
Acer yangbiense	1000413	PRJNA524417	524417	Plants	Land Plants	665.888	35.9704	GCA_008009225.1	chromosome 1:CM017761.1; chromosome 2:CM017762.1; chromosome 3:CM017763.1; chromosome 4:CM017764.1; chromosome 5:CM017765.1; chromosome 6:CM017766.1; chromosome 7:CM017767.1; chromosome 8:CM017768.1; chromosome 9:CM017769.1; chromosome 10:CM017770.1; chromosome 11:CM017771.1; chromosome 12:CM017772.1; chromosome 13:CM017773.1; mitochondrion MT:CM017774.1; chloroplast Pltd:CM017775.1	VAHF01	280	28334	28308	2019/08/19	2019/08/23	Chromosome	Ori-Gene Co. Ltd.	SAMN11026391
Oryza rufipogon	4529	PRJEB29274	514645	Plants	Land Plants	0.4324	43.3	GCA_900609145.1	-	UXBJ01	128	-	-	2019/01/10	2019/01/10	Contig	Huazhong Agricultural University	SAMEA1531504
Fusarium oxysporum	5507	PRJNA587975	587975	Fungi	Ascomycetes	52.0678	47.4	GCA_014324835.1	-	WXUX01	1834	-	-	2020/08/28	2020/08/28	Scaffold	Boosting Plant-Endophyte Stability, Compatibility and Performance across scales (BestPass)	SAMN13221270
Phytophthora cactorum	29920	PRJNA383548	383548	Protists	Other Protists	65.9597	51	GCA_016864655.1	-	NHQK01	194	29551	29905	2021/02/11	2021/02/11	Contig	NIAB-East Malling Research	SAMN06766401
Micronycteris hirsuta	148065	PRJNA399354	399354	Animals	Mammals	2314.65	42.4	GCA_004026765.1	-	PVJI01	550090	-	-	2019/01/16	2019/01/16	Scaffold	Broad Institute	SAMN07678146
Myotis myotis	51298	PRJNA665501	665501	Animals	Mammals	2002.8	43.1999	GCA_014108235.1	mitochondrion MT:NC_029346.1/CM024383.1	JABWUV01	93	30786	61156	2020/08/07	2020/08/13	Scaffold	NCBI	SAMN14734277
Penicillium egyptiacum	1303716	PRJEB44534	840125	Fungi	Ascomycetes	32.6744	48.8	GCA_911456345.1	-	CAJVRC01	909	11062	10635	2022/04/28	2022/04/28	Scaffold	University Paris-Sud	SAMEA8618056
Fomitiporia mediterranea MF3/22	694068	PRJNA56107	56107	Fungi	Basidiomycetes	63.3544	41.7	GCA_000271605.1	-	AEJJ01	1412	11411	11330	2012/06/21	2014/08/11	Scaffold	JGI	SAMN02981288
Leptomonas seymouri	5684	PRJNA285179	285179	Protists	Kinetoplasts	27.7642	55.6	GCA_001299535.1	-	LJSK01	1216	8597	8485	2015/09/25	2022/05/27	Scaffold	University of Ostrava	SAMN03741797
Saccharomyces cerevisiae	4932	PRJNA260311	260311	Fungi	Ascomycetes	11.6368	38.1	GCA_000766395.2	-	JRIN01	388	-	-	2014/10/12	2022/05/09	Scaffold	Stanford University	SAMN03020226
Triplophysa siluroides	422203	PRJNA543715	543715	Animals	Fishes	583.428	39.5	GCA_006030095.1	-	VCII01	1002	-	-	2019/06/05	2019/06/05	Scaffold	Institute of Hydrobiology	SAMN11775600
Saccharomyces cerevisiae	4932	PRJNA680387	680387	Fungi	Ascomycetes	11.6096	38.1	GCA_017864925.1	-	JAEDQB01	265	-	-	2021/04/08	2021/04/08	Scaffold	Institute of Microbiology	SAMN16879076
Drosophila serrata	7274	PRJNA554346	554346	Animals	Insects	159.68	39.7	GCA_008042835.1	-	VNKD01	9921	-	-	2019/08/21	2019/12/04	Scaffold	University of California, Berkeley	SAMN12263396
Cordyceps tenuipes	45847	PRJNA875507	875507	Fungi	Ascomycetes	29.9529	53.7	GCA_025583755.1	-	JANZYN01	285	-	-	2022/10/05	2022/10/05	Scaffold	Yunnan Academy of Forestry and Grassland	SAMN30618631
Alces alces	9852	PRJNA526240	526240	Animals	Mammals	2743.74	42.2	GCA_007570765.1	-	SSNK01	48219	-	-	2019/07/12	2019/07/29	Scaffold	Canada's Genomic Enterprise	SAMN11091360
[Candida] pseudohaemulonii	418784	PRJNA416421	416421	Fungi	Ascomycetes	12.7005	47.2	GCA_002933435.1	-	PEJZ01	90	-	-	2018/02/07	2018/02/07	Contig	Institute for Medical Research	SAMN07956206
Plasmodium falciparum Palo Alto/Uganda	57270	PRJNA67499	67499	Protists	Apicomplexans	24.5624	25.8	GCA_000521095.1	-	AOPT01	218	6040	6048	2014/01/16	2014/08/06	Scaffold	Broad Institute	SAMN02953833
Spialia struvei	2705566	PRJNA606954	606954	Animals	Insects	30.836	35.4	GCA_018230985.1	-	DWBU01	99389	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN13920715
Candida dubliniensis	42374	PRJNA221141	221141	Fungi	Ascomycetes	14.0449	33.1	GCA_000647555.1	-	JFFX01	778	-	-	2014/04/23	2014/04/23	Contig	University of Birmingham	SAMN02593544
Plutella xylostella	51655	PRJDB194	181111	Animals	Insects	186.028	38.3	GCA_000325945.1	-	BAGR01	88530	-	-	2012/11/16	2015/11/03	Contig	National Institute of Agrobiological Sciences	SAMD00004058
Fusarium oxysporum f. sp. gladioli	113634	PRJNA389501	389501	Fungi	Ascomycetes	56.3281	47.2	GCA_002233915.1	-	NJCM01	2859	-	-	2017/07/27	2017/07/27	Scaffold	University of Amsterdam	SAMN07201012
Ditylenchus destructor	166010	PRJNA800207	800207	Animals	Roundworms	139.411	37.4	GCA_022814885.1	-	JAKKPZ01	1236	21600	21283	2022/04/04	2022/04/04	Contig	The Institute of Vegetables and Flowers CAAS	SAMN25235951
Cubamyces lactineus	1391043	PRJNA444026	444026	Fungi	Basidiomycetes	36.3419	55.9	GCA_022376465.1	-	JACDTU01	44	12618	12284	2022/02/23	2022/02/23	Contig	DOE Joint Genome Institute	SAMN08778393
Aspergillus flavus	5059	PRJNA362980	362980	Fungi	Ascomycetes	35.7612	48.4	GCA_004150275.1	-	MVDL01	322	-	-	2019/02/07	2019/02/07	Contig	The Energy and Resources Institute	SAMN06251557
Micoletzkya japonica	1250332	PRJEB27334	477491	Animals	Roundworms	201.901	44.9	GCA_900490955.1	-	UENP01	137965	-	-	2018/06/22	2018/06/22	Scaffold	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA4734564
Aspergillus fumigatus	746128	PRJNA697844	697844	Fungi	Ascomycetes	28.4184	49.6	GCA_020503795.1	-	JAIBYX01	688	9627	9455	2021/10/14	2021/10/14	Contig	Leibniz-HKI	SAMN17673911
Saccharomyces cerevisiae	4932	PRJEB57445	901847	Fungi	Ascomycetes	12.0177	36.5	GCA_947344185.1	-	CAMZTP01	17	-	-	2022/11/15	2022/11/16	Scaffold	Quadram Institute Bioscience	SAMEA112128669
Saccharomyces cerevisiae	4932	PRJNA680387	680387	Fungi	Ascomycetes	11.6098	38.1	GCA_017869615.1	-	JAEDTS01	307	-	-	2021/04/08	2021/04/08	Scaffold	Institute of Microbiology	SAMN16879055
Carex cristatella	314410	PRJNA723756	723756	Plants	Land Plants	301.638	33.9	GCA_024447775.1	-	JAJHPF01	35	-	-	2022/07/26	2022/07/26	Scaffold	Michigan State University	SAMN22566524
Junonia nigrosuffusa	1653868	PRJNA606954	606954	Animals	Insects	106.321	31.7	GCA_018232825.1	-	DVSE01	323991	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN13640999
Erannis defoliaria	104474	PRJEB43989	724511	Animals	Insects	518.527	38.1	GCA_905404195.1	-	CAJQFH01	1029	-	-	2021/04/14	2021/04/14	Contig	WELLCOME SANGER INSTITUTE	SAMEA7520367
Athene cunicularia	194338	PRJNA497593	497593	Animals	Birds	1157.07	41	GCA_003259725.1	-	QEEU01	445	15773	27746	2018/06/21	2018/06/21	Scaffold	NCBI	SAMN08961563
Pyrrhura frontalis	211511	PRJNA481541	481541	Animals	Birds	1128.08	41.4	GCA_010014865.2	-	JAAAKN02	142964	-	-	2020/01/30	2022/11/27	Scaffold	IRIDIAN GENOMES	SAMN09681955
Anhinga anhinga	56067	PRJNA545868	545868	Animals	Birds	1183.19	40.9	GCA_013396435.1	-	WBMU01	10030	15174	13590	2020/07/10	2020/07/10	Scaffold	B10K Consortium	SAMN12253762
Rhizopus arrhizus 99-133	1279478	PRJNA186016	186016	Fungi	Other Fungi	41.4529	35.4	GCA_000697135.1	-	JNDX01	4317	-	-	2014/06/02	2014/06/03	Contig	IGS	SAMN02371529
Lupinus angustifolius	3871	PRJNA290411	290411	Plants	Land Plants	405.566	29.6	GCA_025246945.1	-	JAOBSY01	63286	-	-	2022/09/18	2022/09/18	Scaffold	BGI-Shenzhen	SAMN03951882
Sanghuangporus lonicericola	1659843	PRJNA587366	587366	Fungi	Basidiomycetes	83.126	35.8	GCA_016618145.1	-	WJSG01	28464	-	-	2021/01/12	2021/01/12	Scaffold	Central South University of Forestry and Technology	SAMN13189427
Emesis heteroclita adelpha	2614633	PRJNA606954	606954	Animals	Insects	40.2976	31.5	GCA_018237245.1	-	DWDJ01	127848	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN12776958
Eudemis profundana	1100989	PRJEB56478	887312	Animals	Insects	682.96	38.4	GCA_947034915.1	-	CAMQQJ01	864	-	-	2022/10/06	2022/10/07	Contig	WELLCOME SANGER INSTITUTE	SAMEA10978938
Heliconius melpomene malleti x Heliconius melpomene plesseni	1756247	PRJEB8011	288364	Animals	Insects	235.62	33.2	GCA_900068575.1	-	FARQ01	337126	-	-	2015/11/29	2015/11/29	Scaffold	University of Cambridge, UK	SAMEA3670548
Verticillium nonalfalfae	1051616	PRJNA283258	283258	Fungi	Ascomycetes	34.1826	54.4	GCA_002776445.1	-	PDEZ01	409	-	-	2017/11/16	2017/11/16	Scaffold	University of Ljubljana, Biotechnical faculty	SAMN03610599
Agaricus bisporus	5341	PRJEB53009	841166	Fungi	Basidiomycetes	30.4545	46.4052	GCA_943193715.1	chromosome 1:OW971906.1; chromosome 2:OW971907.1; chromosome 3:OW971908.1; chromosome 4:OW971909.1; chromosome 5:OW971910.1; chromosome 6:OW971911.1; chromosome 7:OW971912.1; chromosome 8:OW971913.1; chromosome 9:OW971914.1; chromosome 10:OW971915.1; chromosome 11:OW971916.1; chromosome 12:OW971917.1; chromosome 13:OW971918.1; mitochondrion MT:OW971919.1	-	14	-	-	2022/05/21	2022/05/22	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA8562043
Hordeum bulbosum	4516	PRJEB3403	213523	Plants	Land Plants	1294.87	44.5	GCA_900070015.1	-	CBQS01	2883554	-	-	2017/02/21	2017/02/21	Scaffold	Leibniz Institute of Plant Genetics and Crop Plant Research	SAMEA3158488
Oriolus oriolus	181099	PRJNA545868	545868	Animals	Birds	1038.87	42.2	GCA_013400235.1	-	VXBT01	22076	15592	13936	2020/07/10	2020/07/10	Scaffold	B10K Consortium	SAMN12253845
Giardia intestinalis	5741	PRJEB32663	549637	Protists	Other Protists	11.2686	40.7	GCA_902221485.1	-	CABIUA01	2885	-	-	2019/08/06	2019/08/06	Scaffold	UTRECHT UNIVERSITY	SAMEA5618883
Otus sunia	257818	PRJNA431699	431699	Animals	Birds	1231.43	41.4	GCA_010365825.1	-	PYXB01	108826	-	-	2020/02/04	2020/02/10	Scaffold	GEROMICS	SAMN08398467
Saccharomyces cerevisiae x Saccharomyces eubayanus	1684324	PRJNA522928	522928	Fungi	Ascomycetes	22.8496	39	GCA_009665875.1	-	VZVK01	2821	-	-	2019/11/18	2019/11/18	Scaffold	University of Wisconsin-Madison	SAMN10973804
Blastomyces percursus	1658174	PRJNA450721	450721	Fungi	Ascomycetes	32.656	47.3	GCA_003206875.1	-	QGQQ01	4934	-	-	2018/06/11	2018/06/11	Scaffold	National Institute for Communicable Diseases	SAMN08919236
Neolamprologus leleupi	40189	PRJNA550295	550295	Animals	Fishes	711.354	40.4	GCA_015108215.1	-	VURL01	63428	-	-	2020/10/29	2020/10/29	Scaffold	"CICHLID~X"	SAMN12123927
Salmo salar	8030	PRJEB40990	674280	Animals	Fishes	0.685672	24.8	GCA_905477595.1	-	CAJQGM01	236	-	-	2021/04/14	2021/04/14	Contig	CENTER FOR EVOLUTIONARY HOLOGENOMICS	SAMEA7494063
Eucalyptus microcorys	34315	PRJNA509734	509734	Plants	Land Plants	441.067	39.3829	GCA_014182515.1	chromosome 1:CM024562.1; chromosome 2:CM024563.1; chromosome 3:CM024564.1; chromosome 4:CM024565.1; chromosome 5:CM024566.1; chromosome 6:CM024567.1; chromosome 7:CM024568.1; chromosome 8:CM024569.1; chromosome 9:CM024570.1; chromosome 10:CM024571.1; chromosome 11:CM024572.1; chloroplast Pltd:CM024596.1	JABKBH01	25	-	-	2020/08/13	2020/08/14	Chromosome	Australian National University	SAMN12996702
Alternaria burnsii	1187904	PRJNA792990	792990	Fungi	Ascomycetes	28.6713	50.8	GCA_021613345.1	-	JAJUXL01	92	-	-	2022/01/26	2022/01/26	Scaffold	Guangxi Institute of Botany	SAMN24494816
Fusarium falciforme	195108	PRJNA855134	855134	Fungi	Ascomycetes	54.3215	49.4	GCA_027945505.1	-	JAOQAV01	866	14964	14938	2023/01/24	2023/01/24	Scaffold	University of California, Riverside	SAMN30354180
Herminia tarsipennalis	987440	PRJEB54839	860505	Animals	Insects	782.601	36.1	GCA_945859615.2	-	CAMAOH02	1805	-	-	2022/08/20	2022/09/21	Contig	WELLCOME SANGER INSTITUTE	SAMEA7520687
Calotelea sp. ZL-2020	2729022	PRJNA550131	550131	Animals	Other Animals	77.4986	32.5	GCA_022817605.1	-	JABFPA01	113933	-	-	2022/04/05	2022/04/05	Scaffold	The Ohio State University	SAMN14615501
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.0585	38.386	GCA_001741725.1	chromosome I:CM007135.1; chromosome II:CM007136.1; chromosome III:CM007137.1; chromosome IV:CM007138.1; chromosome V:CM007139.1; chromosome VI:CM007140.1; chromosome VII:CM007141.1; chromosome VIII:CM007142.1; chromosome IX:CM007143.1; chromosome X:CM007144.1; chromosome XI:CM007145.1; chromosome XII:CM007146.1; chromosome XIII:CM007147.1; chromosome XIV:CM007148.1; chromosome XV:CM007149.1; chromosome XVI:CM007150.1	MBZZ01	92	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190364
Torulaspora delbrueckii	4950	PRJEB46640	790550	Fungi	Ascomycetes	9.24208	41.9	GCA_931298095.1	-	CAKNSM01	64	-	-	2022/02/19	2022/02/26	Contig	Centre of Molecular and Environmental Biology, UM, Portugal	SAMEA8997535
Toxoplasma gondii TgCatPRC2	1130821	PRJNA80769	80769	Protists	Apicomplexans	64.1936	52.2	GCA_000256725.2	-	AHZP02	3064	10300	10121	2012/03/27	2022/03/15	Scaffold	J. Craig Venter Institute	SAMN02953811
Silvatares holzenthali	2994439	PRJNA899091	899091	Animals	Other Animals	534.502	35.2	GCA_026537445.1	-	JAPMAF01	298265	-	-	2022/11/30	2022/11/30	Scaffold	Senckenberg Research Institute and Natural History Museum Frankfurt	SAMN31647369
Metarhizium acridum	92637	PRJNA714115	714115	Fungi	Ascomycetes	39.2527	43.6	GCA_019434395.1	-	JAGRQL01	564	10197	10773	2021/07/30	2021/07/30	Scaffold	University of Copenhagen	SAMN18235592
Homo sapiens	9606	PRJNA626933	626933	Animals	Mammals	2842.43	40.4	GCA_015107275.1	-	JADECJ01	15240	-	-	2020/10/29	2020/10/29	Scaffold	Academia Sinica	SAMN14178726
Blastomyces emzantsi	2723674	PRJNA450721	450721	Fungi	Ascomycetes	27.6543	47.1	GCA_003206195.1	-	QGQF01	3274	-	-	2018/06/11	2018/06/11	Scaffold	National Institute for Communicable Diseases	SAMN08919247
Dactylopsila palpator	65607	PRJEB39788	690434	Animals	Mammals	1.58569	46	GCA_904814155.1	-	CAJGTT01	2021	-	-	2021/01/25	2021/02/21	Contig	AUSTRALIAN NATIONAL UNIVERSITY	SAMEA7321345
Cryptococcus neoformans var. grubii	178876	PRJNA669191	669191	Fungi	Basidiomycetes	18.4959	48.2	GCA_019970475.1	-	JADMBL01	109	-	-	2021/09/14	2021/09/14	Contig	Pontificia Universidad Javeriana	SAMN16533804
Clavariopsis aquatica	253306	PRJNA610219	610219	Fungi	Ascomycetes	34.1802	49.3	GCA_013620735.1	-	JAAZQE01	2649	-	-	2020/07/24	2020/07/24	Scaffold	Leibniz-Institute of Freshwater Ecology and Inland Fisheries	SAMN14290161
Empidonax traillii	164674	PRJNA516471	516471	Animals	Birds	1123.49	42.4	GCA_003031625.1	-	PWAB01	7791	19316	33999	2018/04/03	2018/04/03	Scaffold	NCBI	SAMN08663748
[Candida] jaroonii	467808	PRJEB50290	801560	Fungi	Ascomycetes	10.5805	33.9765	GCA_943733655.1	mitochondrion MIT:OX030781.1	CALSDN01	31	6028	5820	2022/06/02	2022/06/27	Scaffold	INRAE	SAMEA12383850
Anopheles funestus	62324	PRJNA494870	494870	Animals	Insects	444.544	41.18	GCA_003951495.1	chromosome X:CM012070.1; chromosome 2RL:CM012071.1; chromosome 3RL:CM012072.1	RCWQ01	9175	-	-	2018/12/17	2018/12/20	Chromosome	University of Notre Dame	SAMN01087923
Sostrata bifasciata nordica	355145	PRJNA606954	606954	Animals	Insects	244.636	37.7	GCA_018250835.1	-	DWOD01	497123	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN09208546
Talaromyces pinophilus	128442	PRJNA477324	477324	Fungi	Ascomycetes	36.3667	46.5	GCA_011392495.1	-	QMIJ01	18	12488	12488	2020/03/17	2020/03/17	Scaffold	Embrapa Agroenergia	SAMN09464829
Masnerella sp. ZL-2020	2729036	PRJNA550131	550131	Animals	Other Animals	232.62	31.9	GCA_022817265.1	-	JABFPQ01	116987	-	-	2022/04/05	2022/04/05	Scaffold	The Ohio State University	SAMN14615517
Ypsolopha scabrella	1870435	PRJEB45690	737726	Animals	Insects	847.097	36.7	GCA_910591985.1	-	CAJUZE01	915	-	-	2021/07/06	2021/07/06	Contig	WELLCOME SANGER INSTITUTE	SAMEA7701504
Pyricularia oryzae	318829	PRJNA418767	418767	Fungi	Ascomycetes	41.9291	49.9	GCA_024704255.1	-	JABSNJ01	737	11753	12200	2022/08/16	2022/08/16	Scaffold	University of Bedfordshire	SAMN15040820
Macaca fuscata fuscata	9543	PRJDB6785	448850	Animals	Mammals	2930.71	40.9	GCA_003118495.1	-	BFBW01	90905	-	-	2018/04/04	2018/04/05	Contig	National Institutes of Natural Sciences	SAMD00113013
Ovis aries	9940	PRJNA830606	830606	Animals	Mammals	2915.63	43.7	GCA_024222135.1	-	JAMHGD01	1548	-	-	2022/07/12	2022/07/12	Scaffold	Northwest A&F University	SAMN27685148
Pyricularia oryzae	318829	PRJNA245782	245782	Fungi	Ascomycetes	36.2113	51.4	GCA_000734185.1	-	JMJX01	8248	-	-	2014/07/28	2014/07/28	Contig	Seoul National University	SAMN02739936
Aspergillus fumigatus	746128	PRJNA697844	697844	Fungi	Ascomycetes	27.9292	49.6	GCA_020501115.1	-	JAIBUD01	1277	9421	9242	2021/10/14	2021/10/14	Contig	Leibniz-HKI	SAMN17674035
Elegia similella	1101167	PRJEB58025	908058	Animals	Insects	719.976	37.5	GCA_947532095.1	-	CANNWN01	779	-	-	2022/12/04	2022/12/05	Contig	WELLCOME SANGER INSTITUTE	SAMEA10978763
Homo sapiens	9606	PRJNA611127	611127	Animals	Mammals	2858.92	40.3	GCA_015145065.1	-	JADCVZ01	16552	-	-	2020/10/30	2020/10/30	Scaffold	University of California, San Francisco	SAMN00006447
Pyrenophora tritici-repentis	45151	PRJNA678696	678696	Fungi	Ascomycetes	40.1139	50.7741	GCA_018492725.1	mitochondrion MT:CM031751.1	JADZLV01	142	-	-	2021/05/25	2021/05/25	Contig	North Dakota State University	SAMN16810302
Amanita rimosa	580330	PRJNA679796	679796	Fungi	Basidiomycetes	45.3472	46	GCA_023014395.1	-	JAEBUO01	134	-	-	2022/04/15	2022/04/15	Contig	Kunming Institute of Botany	SAMN16846666
Avicennia marina subsp. marina	1381980	PRJEB8422	614449	Plants	Land Plants	458.311	33.4	GCA_900174615.1	-	FWPX01	421	-	-	2020/02/14	2020/02/14	Scaffold	Zhang Zhang	SAMEA103941920
Saccharomyces cerevisiae	4932	PRJNA680387	680387	Fungi	Ascomycetes	11.5866	38.1	GCA_017866745.1	-	JAEDRR01	277	-	-	2021/04/08	2021/04/08	Scaffold	Institute of Microbiology	SAMN16879120
